Account,Aug 2026,Jul 2026
Income:Bike Sales - New,48250.00,44120.00
Income:Bike Sales - Used,8650.00,9120.00
Income:Service & Repair,12480.00,10890.00
Income:Parts & Accessories,9340.00,8760.00
Income:Rentals,2100.00,2450.00
COGS:Bikes,28940.00,26580.00
COGS:Parts & Accessories,4120.00,3890.00
COGS:Shop Supplies,980.00,940.00
Expenses:Rent,5500.00,5500.00
Expenses:Payroll - Wages,14200.00,13850.00
Expenses:Payroll - Taxes & Benefits,2840.00,2770.00
Expenses:Utilities,680.00,720.00
Expenses:Insurance,920.00,920.00
Expenses:Marketing & Ads,1850.00,1100.00
Expenses:Merchant / Card Fees,1680.00,1520.00
Expenses:Tools & Equipment,740.00,210.00
Expenses:Software & Subscriptions,310.00,310.00
Expenses:Professional Fees,450.00,450.00
Expenses:Office & Misc,390.00,365.00
Net Income,17220.00,16215.00
Cash on Hand,28450.00,26890.00
