Account,Jul 2026
Income:Bike Sales - New,44120.00
Income:Bike Sales - Used,9120.00
Income:Service & Repair,10890.00
Income:Parts & Accessories,8760.00
Income:Rentals,2450.00
COGS:Bikes,26580.00
COGS:Parts & Accessories,3890.00
COGS:Shop Supplies,940.00
Expenses:Rent,5500.00
Expenses:Payroll - Wages,13850.00
Expenses:Payroll - Taxes & Benefits,2770.00
Expenses:Utilities,720.00
Expenses:Insurance,920.00
Expenses:Marketing & Ads,1100.00
Expenses:Merchant / Card Fees,1520.00
Expenses:Tools & Equipment,210.00
Expenses:Software & Subscriptions,310.00
Expenses:Professional Fees,450.00
Expenses:Office & Misc,365.00
Net Income,16215.00
Cash on Hand,26890.00
